survey_id;question_id;question_text;selection_decision;response_id;point_id;point_text;sentiment;category;confidence
panel_test_001;row_006;Ce que vous avez particulièrement apprécié :;analyze;4bd9714b-ae84-4aad-85e1-11716564a355;4bd9714b-ae84-4aad-85e1-11716564a355_pt_6;L'esprit de recherche est salué;positive;pedagogie;
panel_test_001;row_006;Ce que vous avez particulièrement apprécié :;analyze;4bd9714b-ae84-4aad-85e1-11716564a355;4bd9714b-ae84-4aad-85e1-11716564a355_pt_7;Les savoirs sont interrogés;positive;pedagogie;
panel_test_001;row_007;Ce que je vais continuer;ignore;56e18673-a15d-4cad-ba2d-6ba2301656ba;;;;;
panel_test_001;row_008;Ce que je vais commencer;ignore;ddecbddb-f5f8-4859-8699-bdc3b6c41c65;;;;;
panel_test_001;row_009;Ce que je vais changer / cesser;ignore;d4b419c2-ffa1-4fd2-add9-edc8cd0f142d;;;;;
panel_test_001;row_010;Les points d amélioration :;analyze;d03e7a2d-6c78-4a2f-87a2-00fd4e495341;d03e7a2d-6c78-4a2f-87a2-00fd4e495341_pt_1;Grande frustration liée à l'animation en visio;negative;pedagogie;
panel_test_001;row_010;Les points d amélioration :;analyze;d03e7a2d-6c78-4a2f-87a2-00fd4e495341;d03e7a2d-6c78-4a2f-87a2-00fd4e495341_pt_2;Altération forcément de la qualité des échanges;negative;pedagogie;
panel_test_001;row_010;Les points d amélioration :;analyze;d03e7a2d-6c78-4a2f-87a2-00fd4e495341;d03e7a2d-6c78-4a2f-87a2-00fd4e495341_pt_3;Rien ne vaut la présence;positive;accueil;
panel_test_001;row_010;Les points d amélioration :;analyze;d03e7a2d-6c78-4a2f-87a2-00fd4e495341;d03e7a2d-6c78-4a2f-87a2-00fd4e495341_pt_4;Cette situation est indépendante de la volonté;neutral;unknown;
panel_test_001;row_011;Ce que vous avez particulièrement apprécié :;analyze;c413f780-8760-40aa-9010-6c3fe3a7c44c;c413f780-8760-40aa-9010-6c3fe3a7c44c_pt_1;L'engagement des intervenants;positive;pedagogie;
panel_test_001;row_011;Ce que vous avez particulièrement apprécié :;analyze;c413f780-8760-40aa-9010-6c3fe3a7c44c;c413f780-8760-40aa-9010-6c3fe3a7c44c_pt_2;Une certaine dimension politique;unknown;unknown;
panel_test_001;row_012;Ce que je vais commencer;ignore;2d2cb16b-56f9-4db6-a82f-79d1a24ac78e;;;;;
panel_test_001;row_013;Ce que je vais changer / cesser;ignore;96d10da0-d49f-4434-a46e-b4e7f22db4cc;;;;;
panel_test_001;row_014;Ce que vous avez particulièrement apprécié :;analyze;0555e30b-4540-4730-82bd-21ff4ab7415b;0555e30b-4540-4730-82bd-21ff4ab7415b_pt_1;La clarté des explications de la formatrice;positive;pedagogie;
panel_test_001;row_015;Ce que je vais continuer;ignore;25707f07-b4d0-463b-b518-75b8abf8727b;;;;;
panel_test_001;row_016;Ce que je vais commencer;ignore;f0e39fd7-593e-466d-9bdf-e2a8d6e7979f;;;;;
panel_test_001;row_017;Ce que je vais changer / cesser;ignore;85d2048a-2a71-4c05-9145-caf618272c5e;;;;;
panel_test_001;row_018;Les points d amélioration :;analyze;12c835bd-d0a6-4020-a270-418332a1a188;;;;;
panel_test_001;row_019;Ce que vous avez particulièrement apprécié :;analyze;b49f734c-ff41-465b-8850-8190579017d0;b49f734c-ff41-465b-8850-8190579017d0_pt_1;Le dynamisme;positive;pedagogie;
panel_test_001;row_019;Ce que vous avez particulièrement apprécié :;analyze;b49f734c-ff41-465b-8850-8190579017d0;b49f734c-ff41-465b-8850-8190579017d0_pt_2;la simplicité;positive;administratif;
panel_test_001;row_019;Ce que vous avez particulièrement apprécié :;analyze;b49f734c-ff41-465b-8850-8190579017d0;b49f734c-ff41-465b-8850-8190579017d0_pt_3;l'humour;positive;pedagogie;
panel_test_001;row_019;Ce que vous avez particulièrement apprécié :;analyze;b49f734c-ff41-465b-8850-8190579017d0;b49f734c-ff41-465b-8850-8190579017d0_pt_4;la disponibilité de Laura;positive;accueil;
panel_test_001;row_019;Ce que vous avez particulièrement apprécié :;analyze;b49f734c-ff41-465b-8850-8190579017d0;b49f734c-ff41-465b-8850-8190579017d0_pt_5;la clarté de la formation;positive;pedagogie;
panel_test_001;row_019;Ce que vous avez particulièrement apprécié :;analyze;b49f734c-ff41-465b-8850-8190579017d0;b49f734c-ff41-465b-8850-8190579017d0_pt_6;sa précision dans son contenu;positive;pedagogie;
panel_test_001;row_019;Ce que vous avez particulièrement apprécié :;analyze;b49f734c-ff41-465b-8850-8190579017d0;b49f734c-ff41-465b-8850-8190579017d0_pt_7;sa progression;positive;pedagogie;
panel_test_001;row_020;Ce que je vais continuer;ignore;e6794533-73f7-452d-b901-2e62709ef9c8;;;;;
panel_test_001;row_021;Ce que je vais commencer;ignore;0900c753-cd79-4271-9b2d-7e71a6df86f9;;;;;
panel_test_001;row_022;Ce que vous avez particulièrement apprécié :;analyze;fa4ba5ad-7622-4ffb-b5be-65bbe51ffc97;fa4ba5ad-7622-4ffb-b5be-65bbe51ffc97_pt_1;association théorie, outils et exemple de prise en charge;positive;pedagogie;
panel_test_001;row_022;Ce que vous avez particulièrement apprécié :;analyze;fa4ba5ad-7622-4ffb-b5be-65bbe51ffc97;fa4ba5ad-7622-4ffb-b5be-65bbe51ffc97_pt_2;belle dynamique;positive;pedagogie;
panel_test_001;row_022;Ce que vous avez particulièrement apprécié :;analyze;fa4ba5ad-7622-4ffb-b5be-65bbe51ffc97;fa4ba5ad-7622-4ffb-b5be-65bbe51ffc97_pt_3;contenu riche;positive;pedagogie;
panel_test_001;row_023;Ce que je vais continuer;ignore;b0a91463-0fb1-4c13-ac33-02a33b934fb4;;;;;
panel_test_001;row_024;Ce que je vais commencer;ignore;8fe9aae4-c911-4f57-8fcd-124fc1efd736;;;;;
panel_test_001;row_025;Ce que je vais changer / cesser;ignore;db479d26-ce75-42be-a0bb-eb8d39e662af;;;;;
panel_test_001;row_026;Les points d amélioration :;analyze;50611ef8-9db1-418d-9da5-93782098bd1f;50611ef8-9db1-418d-9da5-93782098bd1f_pt_1;C'est dommage que nous recevions pas la clef USB.;negative;administratif;
panel_test_001;row_027;Ce que je vais continuer;ignore;d4300cea-2ad0-4420-b8ed-f016b3df42cd;;;;;
panel_test_001;row_028;Ce que je vais commencer;ignore;9a68feaa-9729-479f-a928-263654c15618;;;;;
panel_test_001;row_029;Les points d amélioration :;analyze;01f1217d-5e15-4c6f-a41e-9b0f602db584;01f1217d-5e15-4c6f-a41e-9b0f602db584_pt_1;Trop peu de temps d'échanges entre les stagiaires prévu dans le déroulement de la journée;negative;administratif;
panel_test_001;row_029;Les points d amélioration :;analyze;01f1217d-5e15-4c6f-a41e-9b0f602db584;01f1217d-5e15-4c6f-a41e-9b0f602db584_pt_2;Formation chargée donc temps d'échanges également court avec la formatrice;neutral;pedagogie;
panel_test_001;row_029;Les points d amélioration :;analyze;01f1217d-5e15-4c6f-a41e-9b0f602db584;01f1217d-5e15-4c6f-a41e-9b0f602db584_pt_3;Malgré cela, la formatrice était très à l'écoute;positive;pedagogie;
panel_test_001;row_030;Ce que vous avez particulièrement apprécié :;analyze;3d046883-cb90-4fc6-8e7d-6f27ddec0753;3d046883-cb90-4fc6-8e7d-6f27ddec0753_pt_1;Pédagogie de la formatrice;positive;pedagogie;
panel_test_001;row_030;Ce que vous avez particulièrement apprécié :;analyze;3d046883-cb90-4fc6-8e7d-6f27ddec0753;3d046883-cb90-4fc6-8e7d-6f27ddec0753_pt_2;Nombreux supports partagés;positive;commercial;
panel_test_001;row_031;Ce que je vais continuer;ignore;754565cd-d94a-406c-ad1d-5fd6e5595026;;;;;
panel_test_001;row_032;Ce que je vais commencer;ignore;e25dbd17-203f-4aaa-9e78-51d0cd6532eb;;;;;
panel_test_001;row_033;Ce que je vais changer / cesser;ignore;3d1fd1ef-4d56-4b1a-9daa-c51bab94288e;;;;;
panel_test_001;row_034;Les points d amélioration :;analyze;a428392d-c48d-4ccc-aa8d-be9b22669bb8;a428392d-c48d-4ccc-aa8d-be9b22669bb8_pt_1;Lancer une alerte avant de prendre la parole pour certains participants;neutral;administratif;
panel_test_001;row_035;Ce que vous avez particulièrement apprécié :;analyze;51d41057-9e20-4d52-80dd-543e08677c23;51d41057-9e20-4d52-80dd-543e08677c23_pt_1;Le contenu a été particulièrement apprécié;positive;unknown;
panel_test_001;row_035;Ce que vous avez particulièrement apprécié :;analyze;51d41057-9e20-4d52-80dd-543e08677c23;51d41057-9e20-4d52-80dd-543e08677c23_pt_2;La qualité des exemples de compréhension a été bien notée;positive;pedagogie;
panel_test_001;row_036;Ce que je vais continuer;ignore;4fcd2df4-cb72-4285-bcb2-4fee97c22b61;;;;;
panel_test_001;row_037;Ce que je vais commencer;ignore;bdfbf68e-4cef-4f3a-b123-3b6b4468c20e;;;;;
panel_test_001;row_038;Les points d amélioration :;analyze;566058a8-6885-49bf-886b-d8782869e281;566058a8-6885-49bf-886b-d8782869e281_pt_1;Trouver un système de prise de parole pour éviter que certains participants ne coupent la parole au formateur;neutral;pedagogie;
panel_test_001;row_038;Les points d amélioration :;analyze;566058a8-6885-49bf-886b-d8782869e281;566058a8-6885-49bf-886b-d8782869e281_pt_2;Réduire la partie théorique sur le TSA si les participants ont des connaissances sur le sujet;neutral;pedagogie;
panel_test_001;row_038;Les points d amélioration :;analyze;566058a8-6885-49bf-886b-d8782869e281;566058a8-6885-49bf-886b-d8782869e281_pt_3;Remplacer la partie théorique sur le TSA par une ou deux situations concrètes;neutral;pedagogie;
panel_test_001;row_039;Ce que vous avez particulièrement apprécié :;analyze;1439f963-23a5-444a-85ce-324fc33fdb40;1439f963-23a5-444a-85ce-324fc33fdb40_pt_1;Formatrice agréable et à l'écoute.;positive;pedagogie;
panel_test_001;row_039;Ce que vous avez particulièrement apprécié :;analyze;1439f963-23a5-444a-85ce-324fc33fdb40;1439f963-23a5-444a-85ce-324fc33fdb40_pt_2;Diffusion du contenu pédagogique.;positive;pedagogie;
panel_test_001;row_039;Ce que vous avez particulièrement apprécié :;analyze;1439f963-23a5-444a-85ce-324fc33fdb40;1439f963-23a5-444a-85ce-324fc33fdb40_pt_3;Transmission des outils.;positive;administratif;
panel_test_001;row_039;Ce que vous avez particulièrement apprécié :;analyze;1439f963-23a5-444a-85ce-324fc33fdb40;1439f963-23a5-444a-85ce-324fc33fdb40_pt_4;Support vidéo.;neutral;unknown;
panel_test_001;row_040;Ce que je vais commencer;ignore;96247522-c7d6-4117-add9-b79b550b68b3;;;;;
panel_test_001;row_041;Les points d amélioration :;analyze;38befff9-59bf-46c7-9a37-63ab44e50edb;38befff9-59bf-46c7-9a37-63ab44e50edb_pt_1;Supports pédagogiques à jour avec grilles pour les scores de réussites et d'émergence;positive;pedagogie;
panel_test_001;row_041;Les points d amélioration :;analyze;38befff9-59bf-46c7-9a37-63ab44e50edb;38befff9-59bf-46c7-9a37-63ab44e50edb_pt_2;Système de prise de parole pour participer sans couper la parole à la référente;neutral;administratif;
panel_test_001;row_041;Les points d amélioration :;analyze;38befff9-59bf-46c7-9a37-63ab44e50edb;38befff9-59bf-46c7-9a37-63ab44e50edb_pt_3;Respecter les temps de parole de chacun;neutral;administratif;
panel_test_001;row_041;Les points d amélioration :;analyze;38befff9-59bf-46c7-9a37-63ab44e50edb;38befff9-59bf-46c7-9a37-63ab44e50edb_pt_4;Bref rappel théorique sur les TSA;negative;pedagogie;
panel_test_001;row_041;Les points d amélioration :;analyze;38befff9-59bf-46c7-9a37-63ab44e50edb;38befff9-59bf-46c7-9a37-63ab44e50edb_pt_5;Plus d'exemples ou d'exercices concrèts;neutral;pedagogie;
panel_test_001;row_042;Ce que vous avez particulièrement apprécié :;analyze;d3fbea07-e323-4f20-b064-df055504151e;d3fbea07-e323-4f20-b064-df055504151e_pt_1;Formatrice agréable et à l' écoute;positive;pedagogie;
panel_test_001;row_042;Ce que vous avez particulièrement apprécié :;analyze;d3fbea07-e323-4f20-b064-df055504151e;d3fbea07-e323-4f20-b064-df055504151e_pt_2;Partage d' écran et diffusion du contenu en temps réel;positive;pedagogie;
panel_test_001;row_042;Ce que vous avez particulièrement apprécié :;analyze;d3fbea07-e323-4f20-b064-df055504151e;d3fbea07-e323-4f20-b064-df055504151e_pt_3;Transmission des outils de travail;positive;administratif;
panel_test_001;row_043;Ce que je vais continuer;ignore;a241f6b6-9169-4828-9770-ff453e1df919;;;;;
panel_test_001;row_044;Ce que je vais commencer;ignore;81d155c0-0fc9-408e-8e6c-2a8cc3728a31;;;;;
panel_test_001;row_045;Ce que vous avez particulièrement apprécié :;analyze;821a72b3-c2af-4dbf-b251-c02b7a025fd3;821a72b3-c2af-4dbf-b251-c02b7a025fd3_pt_1;Explications claires;positive;pedagogie;
panel_test_001;row_045;Ce que vous avez particulièrement apprécié :;analyze;821a72b3-c2af-4dbf-b251-c02b7a025fd3;821a72b3-c2af-4dbf-b251-c02b7a025fd3_pt_2;Rythme pas trop rapide;positive;pedagogie;
panel_test_001;row_045;Ce que vous avez particulièrement apprécié :;analyze;821a72b3-c2af-4dbf-b251-c02b7a025fd3;821a72b3-c2af-4dbf-b251-c02b7a025fd3_pt_3;Intervenante;neutral;pedagogie;
panel_test_001;row_046;Ce que je vais continuer;ignore;cd59f727-7325-43c0-b6b9-bf33a7c7ae9d;;;;;
panel_test_001;row_047;Les points d amélioration :;analyze;79b88b17-2186-41e6-bb70-42118fab73c1;79b88b17-2186-41e6-bb70-42118fab73c1_pt_1;Envoyer le programme de formation un peu avant.;neutral;pedagogie;
panel_test_001;row_047;Les points d amélioration :;analyze;79b88b17-2186-41e6-bb70-42118fab73c1;79b88b17-2186-41e6-bb70-42118fab73c1_pt_2;Envoyer les horaires avant le matin-même (difficultés pour d'organiser...).;negative;administratif;
panel_test_001;row_047;Les points d amélioration :;analyze;79b88b17-2186-41e6-bb70-42118fab73c1;79b88b17-2186-41e6-bb70-42118fab73c1_pt_3;Composition du groupe : pas de tour de table, donc niveaux très différents sans prise en compte du fait que les gens aient déjà fait passer le pep ou non et lu le livre. Le pré-requis de lecture du livre du pep n' était pas mentionné.;negative;pedagogie;
panel_test_001;row_047;Les points d amélioration :;analyze;79b88b17-2186-41e6-bb70-42118fab73c1;79b88b17-2186-41e6-bb70-42118fab73c1_pt_4;Formation : formatrice sans cesse rappelant d'aller chercher l'information dans le livre.;negative;pedagogie;
panel_test_001;row_047;Les points d amélioration :;analyze;79b88b17-2186-41e6-bb70-42118fab73c1;79b88b17-2186-41e6-bb70-42118fab73c1_pt_5;Formation : contenu très décousu, peu clair, pas de suivi du plan, aucun supports visuels.;negative;pedagogie;
panel_test_001;row_047;Les points d amélioration :;analyze;79b88b17-2186-41e6-bb70-42118fab73c1;79b88b17-2186-41e6-bb70-42118fab73c1_pt_6;Formation : peu d'éléments théoriques de présentation du test, réponses très approximatives aux questions.;negative;pedagogie;
panel_test_001;row_047;Les points d amélioration :;analyze;79b88b17-2186-41e6-bb70-42118fab73c1;79b88b17-2186-41e6-bb70-42118fab73c1_pt_7;Formation : Qualité des supports pédagogiques : aucun support... sauf une vidéo de passation du pep-3.;negative;pedagogie;
panel_test_001;row_047;Les points d amélioration :;analyze;79b88b17-2186-41e6-bb70-42118fab73c1;79b88b17-2186-41e6-bb70-42118fab73c1_pt_8;Formation : Animation de la formation : ne répond pas ou peu aux questions des stagiaires.;negative;pedagogie;
panel_test_001;row_048;Ce que vous avez particulièrement apprécié :;analyze;9323bae5-8f08-4369-8919-b831c4378fee;9323bae5-8f08-4369-8919-b831c4378fee_pt_1;Vidéo d'une passation de pep-3;neutral;pedagogie;
panel_test_001;row_049;Ce que je vais continuer;ignore;ff71fe3e-9679-4f30-9fea-1dd7e7f6c5aa;;;;;
panel_test_001;row_050;Les points d amélioration :;analyze;c9aa3e7f-e2e9-49a8-baa7-0327da9a1b7d;c9aa3e7f-e2e9-49a8-baa7-0327da9a1b7d_pt_1;Envoyer le programme de formation un peu avant.;neutral;pedagogie;
panel_test_001;row_050;Les points d amélioration :;analyze;c9aa3e7f-e2e9-49a8-baa7-0327da9a1b7d;c9aa3e7f-e2e9-49a8-baa7-0327da9a1b7d_pt_2;Envoyer les horaires avant le matin-même (difficultés pour d'organiser...).;negative;administratif;
panel_test_001;row_050;Les points d amélioration :;analyze;c9aa3e7f-e2e9-49a8-baa7-0327da9a1b7d;c9aa3e7f-e2e9-49a8-baa7-0327da9a1b7d_pt_3;Composition du groupe : pas de tour de table, donc niveaux très différents sans prise en compte du fait que les gens aient déjà fait passer le pep ou non et lu le livre. Le pré-requis de lecture du livre du pep n'était pas mentionné.;negative;pedagogie;
panel_test_001;row_050;Les points d amélioration :;analyze;c9aa3e7f-e2e9-49a8-baa7-0327da9a1b7d;c9aa3e7f-e2e9-49a8-baa7-0327da9a1b7d_pt_4;Formatrice nous a sans cesse rappelé d'aller chercher l'information dans le livre plutôt que de nous éclairer.;negative;pedagogie;
panel_test_001;row_050;Les points d amélioration :;analyze;c9aa3e7f-e2e9-49a8-baa7-0327da9a1b7d;c9aa3e7f-e2e9-49a8-baa7-0327da9a1b7d_pt_5;Contenu de la formation : contenu très décousu, peu clair, pas de suivi du plan, aucun supports visuels (impossible à suivre en visio, notamment pour les cotations...).;negative;pedagogie;
panel_test_001;row_050;Les points d amélioration :;analyze;c9aa3e7f-e2e9-49a8-baa7-0327da9a1b7d;c9aa3e7f-e2e9-49a8-baa7-0327da9a1b7d_pt_6;Contenu de la formation : peu d'éléments théoriques de présentation du test, réponses très approximatives aux questions et non appuyées sur le manuel ou la théorie (psychométrie, passation, déroulé du test et objectifs de travail).;negative;pedagogie;
panel_test_001;row_050;Les points d amélioration :;analyze;c9aa3e7f-e2e9-49a8-baa7-0327da9a1b7d;c9aa3e7f-e2e9-49a8-baa7-0327da9a1b7d_pt_7;Qualité des supports pédagogiques : aucun support... sauf une vidéo de passation du pep-3 (ce support était riche pour se faire une idée de la passation).;negative;pedagogie;
panel_test_001;row_050;Les points d amélioration :;analyze;c9aa3e7f-e2e9-49a8-baa7-0327da9a1b7d;c9aa3e7f-e2e9-49a8-baa7-0327da9a1b7d_pt_8;Animation de la formation : ne répond pas ou peu aux questions des stagiaires.;negative;pedagogie;
